date,host,backend,nx,num_runs,mean,stddev
20220930,dom,fortran,512,20,8.15,0.36634754853252327
20220930,dom,fortran,1024,20,14.75,0.4442616583193193
20220930,dom,fortran,2048,20,22.2,0.4103913408340616
20220930,dom,fortran,4096,20,39.0,0.45883146774112354
20220930,dom,fortran,8192,20,70.75,0.910465468000326
20220930,dom,fortran,16384,20,133.75,1.51744244666721
20220930,dom,fortran,32768,20,259.3,1.6575187543592473
20220930,dom,fortran,65536,20,506.65,3.3603727863375354
20220930,dom,fortran,131072,20,1001.05,5.114221657094531
20220930,dom,gpu-scc,512,20,70.6,0.5026246899500346
20220930,dom,gpu-scc,1024,20,142.15,2.058998223459779
20220930,dom,gpu-scc,2048,20,285.8,3.5183728296502417
20220930,dom,gpu-scc,4096,20,566.95,7.330362237046392
20220930,dom,gpu-scc,8192,20,1130.55,11.869798029585755
20220930,dom,gpu-scc,16384,20,2245.5,3.620119218740556
20220930,dom,gpu-scc,32768,20,4494.05,30.254142822012604
20220930,dom,gpu-scc,65536,20,9074.25,76.89286805611256
20220930,dom,gpu-scc,131072,20,18014.85,104.59710924857292
20220930,dom,gpu-scc-hoist,512,20,79.9,0.3077935056255463
20220930,dom,gpu-scc-hoist,1024,20,159.9,1.4104870379448815
20220930,dom,gpu-scc-hoist,2048,20,319.85,2.796143961356707
20220930,dom,gpu-scc-hoist,4096,20,635.15,2.007223796297028
20220930,dom,gpu-scc-hoist,8192,20,1280.45,3.394655241777332
20220930,dom,gpu-scc-hoist,16384,20,2562.85,6.360031446463139
20220930,dom,gpu-scc-hoist,32768,20,5126.35,8.06731547340058
20220930,dom,gpu-scc-hoist,65536,20,10248.05,8.035939011059856
20220930,dom,gpu-scc-hoist,131072,20,20611.4,185.2007161518494
20220930,dom,fortran,512,20,8.2,0.41039134083406165
20220930,dom,fortran,1024,20,14.8,0.9514531821875086
20220930,dom,fortran,2048,20,22.15,0.6708203932499369
20220930,dom,fortran,4096,20,39.1,0.44721359549995787
20220930,dom,fortran,8192,20,70.8,1.6091841672756186
20220930,dom,fortran,16384,20,133.45,0.6863327411532597
20220930,dom,fortran,32768,20,259.1,1.6827296120792614
20220930,dom,fortran,65536,20,508.25,3.625567106275274
20220930,dom,fortran,131072,20,1004.7,7.994076754566139
20220930,dom,gt:cpu_kfirst,512,20,6.1634678015252575,0.38909655750813343
20220930,dom,gt:cpu_kfirst,1024,20,10.646310498123057,0.37136338779340683
20220930,dom,gt:cpu_kfirst,2048,20,18.33073500311002,0.03730515396490845
20220930,dom,gt:cpu_kfirst,4096,20,36.415405552543234,1.1028150528614926
20220930,dom,gt:cpu_kfirst,8192,20,69.35940439871047,0.08259002664847707
20220930,dom,gt:cpu_kfirst,16384,20,137.85031115839956,1.2278648286391762
20220930,dom,gt:cpu_kfirst,32768,20,273.7260049005272,2.2811359550261705
20220930,dom,gt:cpu_kfirst,65536,20,545.0195587007329,6.307765699545664
20220930,dom,gt:cpu_kfirst,131072,20,1110.9466018999228,13.773072284950667
20220930,dom,gt:cpu_ifirst,512,20,7.7775461511919275,0.3270019733409348
20220930,dom,gt:cpu_ifirst,1024,20,13.414368600933813,0.24745222563743183
20220930,dom,gt:cpu_ifirst,2048,20,23.908635949192103,0.8025138413942619
20220930,dom,gt:cpu_ifirst,4096,20,47.35009575379081,0.20247528912083573
20220930,dom,gt:cpu_ifirst,8192,20,90.00651815003948,0.6633935554124307
20220930,dom,gt:cpu_ifirst,16384,20,172.65553110046312,2.221533388897675
20220930,dom,gt:cpu_ifirst,32768,20,343.07187485101167,3.3189819908700207
20220930,dom,gt:cpu_ifirst,65536,20,742.8128380997805,2.165996080410759
20220930,dom,gt:cpu_ifirst,131072,20,1576.424745102122,8.496955422913272
20220930,dom,cuda,512,20,13.954160847060848,0.5047228578713816
20220930,dom,cuda,1024,20,14.254307553346734,0.484883338102331
20220930,dom,cuda,2048,20,13.796704447304364,0.03406111374477316
20220930,dom,cuda,4096,20,25.50247269537067,0.09048001704582764
20220930,dom,cuda,8192,20,38.886224300949834,0.08109724082711951
20220930,dom,cuda,16384,20,66.99408884742297,0.19321124575476098
20220930,dom,cuda,32768,20,130.76252334867604,0.16225570534549427
20220930,dom,dace:gpu,512,20,9.067518152005505,0.4924405756820354
20220930,dom,dace:gpu,1024,20,8.821292499487754,0.5054615976934176
20220930,dom,dace:gpu,2048,20,8.155117502610665,0.24516473772491754
20220930,dom,dace:gpu,4096,20,8.294678252423182,0.14992093003205492
20220930,dom,dace:gpu,8192,20,10.613036899303552,0.4804560007238046
20220930,dom,dace:gpu,16384,20,19.463814250775613,0.27380724373259513
20220930,dom,dace:gpu,32768,20,32.96942790038884,0.6432148698638094
20220930,dom,dace:gpu,65536,20,58.509342750767246,0.5666833719399714
20220930,dom,dace:gpu,131072,20,113.49518775532488,0.33464369113809406
20220930,mbp18,fortran,512,20,13.25,0.7863975156570492
20220930,mbp18,fortran,1024,20,25.05,1.9861361590045286
20220930,mbp18,fortran,2048,20,42.0,1.3377121081198773
20220930,mbp18,fortran,4096,20,77.85,2.9784312366712364
20220930,mbp18,fortran,8192,20,147.3,5.713326987242889
20220930,mbp18,fortran,16384,20,299.1,13.74160030518165
20220930,mbp18,fortran,32768,20,594.35,34.901779475068544
20220930,mbp18,fortran,65536,20,1141.9,44.13961104447902
20220930,mbp18,fortran,131072,20,3520.1,268.35030130507835
20220930,mbp18,gt:cpu_kfirst,512,20,10.61589989998879,1.3848211289655545
20220930,mbp18,gt:cpu_kfirst,1024,20,30.71620079999993,5.278186541176378
20220930,mbp18,gt:cpu_kfirst,2048,20,44.57292525000018,5.793080847450766
20220930,mbp18,gt:cpu_kfirst,4096,20,85.16423594999998,13.373411957307397
20220930,mbp18,gt:cpu_kfirst,8192,20,161.7244630499999,14.313896938098024
20220930,mbp18,gt:cpu_kfirst,16384,20,310.77654225000003,27.06123407638347
20220930,mbp18,gt:cpu_kfirst,32768,20,698.3578345,81.23490580974644
20220930,mbp18,gt:cpu_kfirst,65536,20,1346.8416971499996,301.91927102633406
20220930,mbp18,gt:cpu_kfirst,131072,20,3704.1893364500006,1316.5131720067736
20220930,mbp18,gt:cpu_ifirst,512,20,11.190984150002237,1.38059466902798
20220930,mbp18,gt:cpu_ifirst,1024,20,20.371191100000054,0.8514605138707512
20220930,mbp18,gt:cpu_ifirst,2048,20,45.05677534999993,5.554940743650532
20220930,mbp18,gt:cpu_ifirst,4096,20,85.1413355,1.847155369606661
20220930,mbp18,gt:cpu_ifirst,8192,20,176.04585664999976,9.60254794652909
20220930,mbp18,gt:cpu_ifirst,16384,20,365.1024868500002,24.160926587426108
20220930,mbp18,gt:cpu_ifirst,32768,20,743.6642592,103.28331677178959
20220930,mbp18,gt:cpu_ifirst,65536,20,2414.6831465500013,2027.032671277524
20220930,mbp18,gt:cpu_ifirst,131072,20,18186.0453115,4644.601664462341
20221004,dom,gt:gpu,512,20,14.681932100938866,0.5041081051378258
20221004,dom,gt:gpu,1024,20,14.144993049558252,0.04889083875544671
20221004,dom,gt:gpu,2048,20,14.205358501203591,0.11619999951134821
20221004,dom,gt:gpu,4096,20,26.39103814981354,0.8721320749820546
20221004,dom,gt:gpu,8192,20,39.30084075036575,0.21933805668938502
20221004,dom,gt:gpu,16384,20,68.00899030095025,0.23958900680235493
20221004,dom,gt:gpu,32768,20,132.4986233492382,0.264906523673583
